OBJECTID,Área,NOME,REGIAO_ADM,AREA_PLANE,CODBAIRRO,CODRA,CODBNUM,LINK,RP,Cod_RP,CODBAIRRO_LONG,SHAPESTArea,SHAPESTLength
325,1705684.50390625,Paquetá                   ,PAQUETA                 ,1,013,21,13,Paqueta&area=013                                  ,Centro,1.1,13,1705684.50813242,24841.4266685599
326,4056402.76611328,Freguesia (Ilha)          ,ILHA DO GOVERNADOR      ,3,098,20,98,Freguesia (Ilha)          &area=98                ,Ilha do Governador,3.7,98,4056402.77195321,18303.5957174943
327,978046.54248047,Bancários                 ,ILHA DO GOVERNADOR      ,3,097,20,97,Bancários                 &area=97                ,Ilha do Governador,3.7,97,978046.542055589,7758.78128164379
328,18957422.1518555,Galeão                    ,ILHA DO GOVERNADOR      ,3,104,20,104,Galeão                    &area=104               ,Ilha do Governador,3.7,104,18957422.1531485,21510.0592195699
329,1672545.75097656,Tauá                      ,ILHA DO GOVERNADOR      ,3,101,20,101,Tauá                      &area=101               ,Ilha do Governador,3.7,101,1672545.75203606,8246.1096062245
330,1186409.43945313,Portuguesa                ,ILHA DO GOVERNADOR      ,3,103,20,103,Portuguesa                &area=103               ,Ilha do Governador,3.7,103,1186409.43554872,5101.52319800369
331,520557.46679688,Moneró                    ,ILHA DO GOVERNADOR      ,3,102,20,102,Moneró                    &area=102               ,Ilha do Governador,3.7,102,520557.473143154,3538.2853949305
333,3385308.03125,Vigário Geral             ,VIGARIO GERAL           ,3,048,31,48,Vigário Geral             &area=48                ,Penha,3.5,48,3385308.03265163,8077.08229741507
334,490102.43017578,Cocotá                    ,ILHA DO GOVERNADOR      ,3,096,20,96,Cocotá                    &area=96                ,Ilha do Governador,3.7,96,490102.424578946,4799.07169059722
335,1973968.44726563,Jardim América            ,VIGARIO GERAL           ,3,049,31,49,Jardim América            &area=49                ,Penha,3.5,49,1973968.44239217,6129.77759853952
336,1621126.18847656,Jardim Carioca            ,ILHA DO GOVERNADOR      ,3,100,20,100,Jardim Carioca            &area=100               ,Ilha do Governador,3.7,100,1621126.19052711,6150.87966995257
337,8311405.5546875,Pavuna                    ,PAVUNA                  ,3,114,25,114,Pavuna                    &area=114               ,Pavuna,3.6,114,8311405.55383157,18418.0569136249
338,3856801.06689453,Cordovil                  ,VIGARIO GERAL           ,3,046,31,46,Cordovil                  &area=46                ,Penha,3.5,46,3856801.07173916,13947.7037648179
339,3205882.07080078,Jardim Guanabara          ,ILHA DO GOVERNADOR      ,3,099,20,99,Jardim Guanabara          &area=99                ,Ilha do Governador,3.7,99,3205882.0617827,9028.40749925685
340,2197968.69482422,Parada de Lucas           ,VIGARIO GERAL           ,3,047,31,47,Parada de Lucas           &area=47                ,Penha,3.5,47,2197968.69428179,9216.70181349108
341,1517134.46630859,Parque Colúmbia           ,PAVUNA                  ,3,159,25,159,Parque Colúmbia           &area=159               ,Pavuna,3.6,159,1517134.46680792,6179.26932099742
342,379405.89892578,Praia da Bandeira         ,ILHA DO GOVERNADOR      ,3,095,20,95,Praia da Bandeira         &area=95                ,Ilha do Governador,3.7,95,379405.901239922,3423.22210542077
343,4623381.89599609,Penha Circular            ,PENHA                   ,3,044,11,44,Penha Circular            &area=44                ,Penha,3.5,44,4623381.90460947,16639.4005517347
345,2068686.08105469,Cacuia                    ,ILHA DO GOVERNADOR      ,3,093,20,93,Cacuia                    &area=93                ,Ilha do Governador,3.7,93,2068686.08157767,10232.332882129
346,7477839.76953125,Irajá                     ,IRAJA                   ,3,076,14,76,Irajá                     &area=76                ,Madureira,3.3,76,7477839.76804495,18435.9955415079
347,4345726.97900391,Anchieta                  ,ANCHIETA                ,3,107,22,107,Anchieta                  &area=107               ,Pavuna,3.6,107,4345726.98330951,11471.4188255766
348,1605524.3203125,Acari                     ,PAVUNA                  ,3,111,25,111,Acari                     &area=111               ,Pavuna,3.6,111,1605524.32140875,6408.77293698042
349,604129.77490234,Pitangueiras              ,ILHA DO GOVERNADOR      ,3,094,20,94,Pitangueiras              &area=94                ,Ilha do Governador,3.7,94,604129.776443952,3514.09148727609
350,1814831.70556641,Costa Barros              ,PAVUNA                  ,3,113,25,113,Costa Barros              &area=113               ,Pavuna,3.6,113,1814831.70685485,6638.99018733878
351,3522221.85253906,Brás de Pina              ,PENHA                   ,3,045,11,45,Brás de Pina              &area=45                ,Penha,3.5,45,3522221.84974767,12591.6102461781
352,5811323.13867188,Penha                     ,PENHA                   ,3,043,11,43,Penha                     &area=43                ,Penha,3.5,43,5811323.13686323,13667.7756635494
353,161117.78417969,Zumbi                     ,ILHA DO GOVERNADOR      ,3,092,20,92,Zumbi                     &area=92                ,Ilha do Governador,3.7,92,161117.784373847,2122.5213318647
354,861924.82275391,Ribeira                   ,ILHA DO GOVERNADOR      ,3,091,20,91,Ribeira                   &area=91                ,Ilha do Governador,3.7,91,861924.816900245,7050.03139696498
355,2511970.33837891,Coelho Neto               ,PAVUNA                  ,3,110,25,110,Coelho Neto               &area=110               ,Pavuna,3.6,110,2511970.33862807,7534.53860405236
356,3820007.67333984,Guadalupe                 ,ANCHIETA                ,3,106,22,106,Guadalupe                 &area=106               ,Pavuna,3.6,106,3820007.67151382,10384.2322039653
357,3905790.00732422,Parque Anchieta           ,ANCHIETA                ,3,108,22,108,Parque Anchieta           &area=108               ,Pavuna,3.6,108,3905790.00473337,13017.7350234293
358,1723864.33349609,Barros Filho              ,PAVUNA                  ,3,112,25,112,Barros Filho              &area=112               ,Pavuna,3.6,112,1723864.33214882,7194.15352355965
359,515209.05175781,Vista Alegre              ,IRAJA                   ,3,075,14,75,Vista Alegre              &area=75                ,Madureira,3.3,75,515209.053294379,3581.52616617477
360,2116869.79931641,Ricardo de Albuquerque    ,ANCHIETA                ,3,109,22,109,Ricardo de Albuquerque    &area=109               ,Pavuna,3.6,109,2116869.8017248,9196.69344876431
361,2261110.26855469,Colégio                   ,IRAJA                   ,3,077,14,77,Colégio                   &area=77                ,Madureira,3.3,77,2261110.26878355,7739.22176402813
362,1374847.05664063,Honório Gurgel            ,MADUREIRA               ,3,087,15,87,Honório Gurgel            &area=87                ,Madureira,3.3,87,1374847.05748645,6884.58416329801
363,3689833.24707031,Olaria                    ,RAMOS                   ,3,042,10,42,Olaria                    &area=42                ,Ramos,3.1,42,3689833.24085884,12230.9938729438
364,1435715.75537109,Vila da Penha             ,IRAJA                   ,3,074,14,74,Vila da Penha             &area=74                ,Madureira,3.3,74,1435715.75530553,6100.1624015046
365,4268761.30273438,Maré                      ,COMPLEXO DA MARE        ,3,157,30,157,Maré                      &area=157               ,Ramos,3.1,157,4268761.29951038,13082.6216980497
366,10756709.4238281,Vila Militar              ,REALENGO                ,5,135,33,135,Vila Militar              &area=135               ,Bangu,5.1,135,10756709.4246626,18076.9990682145
367,4690706.46972656,Cidade Universitária      ,ILHA DO GOVERNADOR      ,3,105,20,105,Cidade Universitária      &area=105               ,Ilha do Governador,3.7,105,4690706.47396707,22376.2214749049
